RK	NAME	TEAM	SALARY
259	James Ennis III, SF	Memphis Grizzlies	$3,028,410
260	Seth Curry, SG	Dallas Mavericks	$3,028,410
261	Mindaugas Kuzminskas, F	New York Knicks	$3,025,035
262	Tomas Satoransky, SF	Washington Wizards	$3,000,000
263	Justin Hamilton, C	Toronto Raptors	$3,000,000
264	Tibor Pleiss, C	Philadelphia 76ers	$3,000,000
265	Lucas Nogueira, C	Toronto Raptors	$2,947,305
266	Jusuf Nurkic, C	Portland Trail Blazers	$2,947,305
267	Malik Monk, SG	Charlotte Hornets	$2,904,480
268	Frank Kaminsky, PF	Charlotte Hornets	$2,847,600
269	Jakob Poeltl, C	Toronto Raptors	$2,825,640
270	Luke Kennard, SG	Detroit Pistons	$2,759,280
271	Justise Winslow, SF	Miami Heat	$2,705,040
272	Michael Carter-Williams, PG	Charlotte Hornets	$2,700,000
273	Thon Maker, C	Milwaukee Bucks	$2,684,160
274	Cedi Osman, SF	Cleveland Cavaliers	$2,642,857
275	Donovan Mitchell, SG	Utah Jazz	$2,621,280
276	Myles Turner, C	Indiana Pacers	$2,569,920
277	Gary Harris, SG	Denver Nuggets	$2,550,055
278	Domantas Sabonis, C	Indiana Pacers	$2,550,000
279	Reggie Bullock, SF	Detroit Pistons	$2,500,000
280	Manu Ginobili, SG	San Antonio Spurs	$2,500,000
281	Malcolm Delaney, PG	Atlanta Hawks	$2,500,000
282	Bam Adebayo, C	Miami Heat	$2,490,360
283	Bruno Caboclo, SF	Toronto Raptors	$2,451,225
284	Trey Lyles, PF	Denver Nuggets	$2,441,400
285	Dario Saric, PF	Philadelphia 76ers	$2,422,560
286	Taurean Prince, SF	Atlanta Hawks	$2,422,560
287	Rodney Hood, SG	Utah Jazz	$2,386,864
288	Justin Jackson, SF	Sacramento Kings	$2,365,560
289	Shabazz Napier, PG	Portland Trail Blazers	$2,361,360
290	Clint Capela, C	Houston Rockets	$2,334,528
291	Devin Booker, SG	Phoenix Suns	$2,319,360
292	Georgios Papagiannis, C	Sacramento Kings	$2,301,360
293	Dante Cunningham, SF	New Orleans Pelicans	$2,300,000
294	Justin Patton, C	Minnesota Timberwolves	$2,247,480
295	Guerschon Yabusele, PF	Boston Celtics	$2,247,480
296	Cameron Payne, PG	Chicago Bulls	$2,203,440
297	Mo Williams, PG	Denver Nuggets	$2,194,500
298	Denzel Valentine, SF	Chicago Bulls	$2,186,400
299	Kyle Anderson, SF	San Antonio Spurs	$2,151,704
300	D.J. Wilson, PF	Milwaukee Bucks	$2,135,040
301	Darius Miller, SF	New Orleans Pelicans	$2,100,000
302	Kelly Oubre Jr., SF	Washington Wizards	$2,093,040
303	Juan Hernangomez, PF	Denver Nuggets	$2,076,840
304	Kendall Marshall, PG	Milwaukee Bucks	$2,048,257
305	T.J. Leaf, PF	Indiana Pacers	$2,028,360
306	Tim Frazier, PG	Washington Wizards	$2,000,000
307	Terry Rozier, PG	Boston Celtics	$1,988,520
308	Kevin Seraphin, C	Indiana Pacers	$1,974,159
309	John Collins, PF	Atlanta Hawks	$1,936,920
310	Rashad Vaughn, SG	Milwaukee Bucks	$1,889,040
311	Harry Giles, PF	Sacramento Kings	$1,859,400
312	Sam Dekker, SF	LA Clippers	$1,794,600
313	Terrance Ferguson, SG	Oklahoma City Thunder	$1,785,000
314	Henry Ellenson, PF	Detroit Pistons	$1,780,800
315	Eric Moreland, PF	Detroit Pistons	$1,739,333
316	Jerian Grant, PG	Chicago Bulls	$1,713,840
